@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
NA,NA,NA,NA,NA,Th,Th,Rh,NA,SN,conj,NA,NA,NA,NA,Th(Th),Rh(Th(Th)),Rh(Th(Th)),semantic
NA,NA,NA,NA,NA,Th,Th,Rh,NA,SN,SPron,NA,NA,NA,NA,Th(Th),Rh(Th(Th)),Rh(Th(Th)),NA
NA,NA,NA,NA,NA,Th,Th,Rh,NA,SN,SPron,NA,NA,NA,NA,Th(Th),Rh(Th(Th)),Rh(Th(Th)),NA
NA,NA,NA,NA,NA,Th,Th,Rh,NA,SN,SV,NA,NA,NA,NA,Th(Th),Rh(Th(Th)),Rh(Th(Th)),NA
NA,NA,NA,NA,NA,Th,Th,Rh,NA,SN,SV,NA,NA,NA,preparation,Th(Th),Rh(Th(Th)),Rh(Th(Th)),NA
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(Th),Rh(Th),Rh(Th),NA
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,conj,NA,NA,NA,preparation,Rh(Th),Rh(Th),Rh(Th),NA
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,SV,NA,NA,NA,stroke,Rh(Th),Rh(Th),Rh(Th),beat
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,SV,SAdv,NA,NA,stroke,Rh(Th),Rh(Th),Rh(Th),beat
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,SV,NA,NA,NA,relax,Rh(Th),Rh(Th),Rh(Th),NA
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,SV,SPrep,SN,NA,relax,Rh(Th),Rh(Th),Rh(Th),NA
NA,NA,NA,NA,NA,Th,Rh,NA,NA,SV,SV,SPrep,SN,NA,relax,Rh(Th),Rh(Th),Rh(Th),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,NA,NA,NA,NA,NA,preparation,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SN,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,NA,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,SN,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,SN,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,SN,SPrep,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,NA,SPrep,SN,SPrep,SN,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,NA,NA,NA,NA,NA,preparation,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,NA,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,NA,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,conj,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,Repetition,E,NA,Rh,Th,NA,NA,SV,SN,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,Repetition,E,NA,Rh,Th,NA,NA,SV,SN,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,NA,NA,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
